attack,back,forward,jump,left,right,sneak,sprint,use,drop,inventory,ESC,camera1,camera2,startImage,hotbar
0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1529,1
0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1530,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1531,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1532,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1533,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1534,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1535,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1536,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1537,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1538,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.6094986352788734,1539,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-10.0,1540,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.809483127522302,1541,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1542,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,1543,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1544,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1545,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1546,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1547,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1548,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1549,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1550,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1551,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1552,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,1553,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1554,1
0,0,1,0,0,0,0,0,0,0,0,0,0.6153942662021781,-0.6153942662021781,1555,1
0,0,0,0,0,1,0,0,0,0,0,0,0.6153942662021781,-1.6094986352788734,1556,1
0,0,1,0,0,0,0,1,0,0,0,0,0.6153942662021781,-5.809483127522302,1557,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,-10.0,1558,1
0,1,0,0,0,1,0,1,0,0,0,0,-0.6153942662021781,-5.809483127522302,1559,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1560,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1561,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1562,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1563,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1564,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-10.0,1565,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,-1.6094986352788734,1566,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1567,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1568,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1569,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1570,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1571,1
0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,1572,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1573,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1574,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1575,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1576,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1577,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1578,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1579,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1580,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1581,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1582,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1583,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1584,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1585,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1586,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,1587,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-1.6094986352788734,1588,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-1.6094986352788734,1589,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1590,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1591,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1592,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1593,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.6153942662021781,1594,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,1.6094986352788734,1595,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.6153942662021781,1596,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1597,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1598,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1599,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1600,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1601,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1602,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-0.6153942662021781,1603,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-0.6153942662021781,1604,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-0.6153942662021781,1605,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.6153942662021781,1606,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1607,1
0,0,1,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.0,1608,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1609,1
0,0,1,0,0,1,0,1,0,0,0,0,-0.6153942662021781,0.0,1610,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1611,1
0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,1612,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1613,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1614,1
0,0,1,1,0,1,0,0,0,0,0,0,-0.6153942662021781,1.6094986352788734,1615,1
0,0,1,0,0,0,0,1,0,0,0,0,-0.6153942662021781,0.6153942662021781,1616,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1617,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1618,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1619,1
0,0,1,0,0,1,0,1,0,0,0,0,-0.6153942662021781,0.0,1620,1
0,0,1,0,0,0,0,1,0,0,0,0,-0.6153942662021781,0.0,1621,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1622,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1623,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1624,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1625,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1626,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1627,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1628,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1629,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1630,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-0.6153942662021781,1631,1
0,0,1,0,0,0,0,0,0,0,0,0,-0.6153942662021781,-3.2153691330919005,1632,1
0,0,1,0,0,0,0,1,0,0,0,0,-0.6153942662021781,-5.809483127522302,1633,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-3.2153691330919005,1634,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-0.6153942662021781,1635,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1636,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1637,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,1638,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-3.2153691330919005,1639,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.809483127522302,1640,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,-3.2153691330919005,1641,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,-1.6094986352788734,1642,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,1643,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1644,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,-5.809483127522302,1645,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3.2153691330919005,1646,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1647,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1648,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1649,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,-0.6153942662021781,1650,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,-0.6153942662021781,1651,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,-1.6094986352788734,1652,1
0,0,1,0,0,1,0,0,0,0,0,0,-0.6153942662021781,-1.6094986352788734,1653,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1654,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1655,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1656,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-5.809483127522302,1657,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,-10.0,1658,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-5.809483127522302,1659,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,-5.809483127522302,1660,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3.2153691330919005,1661,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,-3.2153691330919005,1662,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,-5.809483127522302,1663,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,-5.809483127522302,1664,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,-5.809483127522302,1665,1
0,1,0,0,0,0,0,0,0,0,0,0,0.0,-3.2153691330919005,1666,1
0,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.6153942662021781,1667,1
0,1,0,0,0,1,0,0,0,0,0,0,0.0,-0.6153942662021781,1668,1
0,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1669,1
0,0,1,0,0,0,0,0,0,0,0,0,-0.6153942662021781,0.6153942662021781,1670,1
0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1671,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1672,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1673,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,3.2153691330919005,1674,1
0,1,0,1,1,0,0,0,0,0,0,0,0.0,3.2153691330919005,1675,1
0,0,1,0,0,0,0,1,0,0,0,0,0.6153942662021781,3.2153691330919005,1676,1
0,0,1,0,0,0,0,1,0,0,0,0,-0.6153942662021781,1.6094986352788734,1677,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1678,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,5.809483127522302,1679,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,5.809483127522302,1680,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1681,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.6153942662021781,1682,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1683,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1684,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.6153942662021781,1685,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1686,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-0.6153942662021781,1687,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1688,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1689,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,1690,1
0,0,1,0,0,1,0,1,0,0,0,0,1.6094986352788734,10.0,1691,1
0,0,1,0,0,0,0,1,0,0,0,0,3.2153691330919005,5.809483127522302,1692,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,1.6094986352788734,1693,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,1694,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1695,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,-1.6094986352788734,1696,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1697,1
0,0,0,0,0,0,0,0,0,0,0,0,-0.6153942662021781,5.809483127522302,1698,1
0,0,1,0,0,0,0,1,0,0,0,0,-0.6153942662021781,10.0,1699,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,5.809483127522302,1700,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6153942662021781,1701,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1702,1
0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,1703,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,1.6094986352788734,1704,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,1705,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,5.809483127522302,1706,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1707,1
0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,1708,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,1.6094986352788734,1709,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,1.6094986352788734,1710,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1711,1
0,0,1,0,0,1,0,1,0,0,0,0,-0.6153942662021781,1.6094986352788734,1712,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,3.2153691330919005,1713,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,1.6094986352788734,1714,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,1.6094986352788734,1715,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1716,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-0.6153942662021781,1717,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1718,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1719,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1720,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1721,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1722,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1723,1
0,0,1,1,0,0,0,1,0,0,0,0,-1.6094986352788734,-0.6153942662021781,1724,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1725,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1726,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,0.0,1727,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.6153942662021781,1728,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,5.809483127522302,1729,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.809483127522302,1730,1
0,1,0,0,0,0,0,0,0,0,0,0,0.0,5.809483127522302,1731,1
0,0,1,1,0,0,0,1,0,0,0,0,0.6153942662021781,5.809483127522302,1732,1
0,0,1,1,0,1,0,1,0,0,0,0,0.0,0.0,1733,1
0,0,1,1,0,1,0,1,0,0,0,0,0.0,0.0,1734,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-10.0,1735,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-10.0,1736,1
0,0,1,0,0,1,0,1,0,0,0,0,-0.6153942662021781,-10.0,1737,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-0.6153942662021781,1738,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1739,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1740,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1741,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1742,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1743,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-10.0,1744,1
0,0,0,0,0,1,0,0,0,0,0,0,1.6094986352788734,-10.0,1745,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1746,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1747,1
0,0,0,0,0,1,0,1,0,0,0,0,0.6153942662021781,-3.2153691330919005,1748,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1749,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1750,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1751,1
0,0,1,1,0,1,0,0,0,0,0,0,0.0,0.0,1752,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,10.0,1753,1
0,0,1,0,0,0,0,1,0,0,0,0,3.2153691330919005,10.0,1754,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.6153942662021781,1755,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1756,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.6094986352788734,1757,1
0,0,1,0,0,1,0,1,0,0,0,0,-0.6153942662021781,-5.809483127522302,1758,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-5.809483127522302,1759,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,-1.6094986352788734,1760,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1761,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1762,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1763,1
0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,1764,1
0,0,1,1,0,1,0,1,0,0,0,0,0.0,0.0,1765,1
0,0,1,1,0,1,0,1,0,0,0,0,0.0,0.0,1766,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1767,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1768,1
0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.809483127522302,1769,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1770,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1771,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-1.6094986352788734,1772,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1773,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-5.809483127522302,1774,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-10.0,1775,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-3.2153691330919005,1776,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-0.6153942662021781,1777,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1778,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1779,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1780,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1781,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1782,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1783,1
0,0,1,0,0,0,0,1,0,0,0,0,-1.6094986352788734,0.6153942662021781,1784,1
0,0,1,0,0,0,0,1,0,0,0,0,-3.2153691330919005,0.0,1785,1
0,0,1,0,0,0,0,1,0,0,0,0,-1.6094986352788734,0.0,1786,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1787,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1788,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1789,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1790,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-1.6094986352788734,1791,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-3.2153691330919005,1792,1
0,0,1,0,0,0,0,0,0,0,0,0,0.6153942662021781,-1.6094986352788734,1793,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-0.6153942662021781,1794,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1795,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1796,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,3.2153691330919005,1797,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,10.0,1798,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,10.0,1799,1
0,1,0,0,0,0,0,1,0,0,0,0,0.0,5.809483127522302,1800,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,0.0,1801,1
0,0,0,0,0,0,0,0,0,0,0,0,0.6153942662021781,-1.6094986352788734,1802,1
0,0,1,1,0,0,0,0,0,0,0,0,5.809483127522302,-1.6094986352788734,1803,1
0,0,1,0,0,0,0,1,0,0,0,0,1.6094986352788734,0.0,1804,1
0,0,1,0,0,1,0,1,0,0,0,0,1.6094986352788734,-3.2153691330919005,1805,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-5.809483127522302,1806,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-5.809483127522302,1807,1
0,0,1,0,0,1,0,1,0,0,0,0,0.0,-5.809483127522302,1808,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-0.6153942662021781,1809,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1810,1
0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,1811,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-0.6153942662021781,1812,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-3.2153691330919005,1813,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-10.0,1814,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-10.0,1815,1
0,0,1,0,0,1,0,1,0,0,0,0,0.6153942662021781,-1.6094986352788734,1816,1
0,0,1,0,0,0,0,0,0,0,0,0,0.6153942662021781,-1.6094986352788734,1817,1
0,0,1,0,0,0,0,1,0,0,0,0,0.6153942662021781,-1.6094986352788734,1818,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1819,1
0,0,1,0,1,0,0,1,0,0,0,0,0.6153942662021781,0.0,1820,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.6153942662021781,1821,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1822,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1823,1
0,0,1,0,1,0,0,1,0,0,0,0,-0.6153942662021781,0.6153942662021781,1824,1
0,0,1,0,1,0,0,1,0,0,0,0,-3.2153691330919005,3.2153691330919005,1825,1
0,0,1,0,0,0,0,1,0,0,0,0,-0.6153942662021781,10.0,1826,1
0,0,1,0,1,0,0,1,0,0,0,0,-0.6153942662021781,10.0,1827,1
0,0,1,0,0,0,0,1,0,0,0,0,-0.6153942662021781,10.0,1828,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,1.6094986352788734,1829,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1830,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1831,1
0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,1832,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.6153942662021781,1833,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.6153942662021781,1834,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.6153942662021781,1835,1
0,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,1836,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.6153942662021781,1837,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,1.6094986352788734,1838,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.6153942662021781,1839,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,1840,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,1841,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1842,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,1843,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1844,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.6153942662021781,1845,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1846,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,1847,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1848,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1849,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,1850,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,1851,1
0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,1852,1
0,0,1,0,1,0,0,1,0,0,0,0,0.0,0.0,1853,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1854,1
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1855,1
0,0,1,1,1,0,0,0,0,0,0,0,0.0,0.0,1856,1
0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1857,1
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1858,1
1,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,1859,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1860,1
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1861,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1862,1
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1863,6
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1864,5
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1865,6
0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,1866,6
0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1867,6
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1868,5
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1869,5
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1870,5
0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1871,5
0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1872,5
0,0,1,0,0,0,0,1,0,0,0,0,1.6094986352788734,-5.809483127522302,1873,5
0,0,1,0,1,0,0,1,0,0,0,0,-3.2153691330919005,-5.809483127522302,1874,5
0,0,1,1,0,0,0,1,0,0,0,0,-10.0,-3.2153691330919005,1875,5
0,0,1,0,0,0,0,1,0,0,0,0,-5.809483127522302,0.0,1876,5
